Task,Module,Owner,Phase,Phase Name,Priority,Source Page,Status,Target Date,Task ID,Wave
"Update the student brochure to 2026 curriculum, tools, and positioning",Brochure v2 PDF,Design Team,20,Modular Course Architecture,P0 - Quick Win,,🔴 Pending,"June 25, 2026",QW-02,Phase 0
Publish public Course Catalog landing page with current modules and pricing,Public Course Catalog — P20.5,Design + Web,20,Modular Course Architecture,P0 - Quick Win,,🔴 Pending,"June 30, 2026",QW-15,Phase 0
Build the GA4 certification study map — alignment table + study path + 2 practice exam links,Certification Pathways — P18.1,Academic Head,18,Industry Certification Pathways,P0 - Quick Win,,🟡 In Progress,"June 18, 2026",QW-04,Phase 0
"Define à la carte module pricing — standalone prices, bundle discounts, entry-level cert offers",Pricing — P20.3,Abhishek,20,Modular Course Architecture,P0 - Quick Win,,🟡 In Progress,"June 17, 2026",QW-08,Phase 0
"Identify SEO Mastery Pilot Cohort — 5–10 students, confirm dates, assign faculty lead",SEO Pilot,Abhishek,0,Phase 0 — Operational,P0 - Quick Win,,🔴 Pending,"June 17, 2026",QW-14,Phase 0
"Write first 3 SEO depth sub-modules: Technical SEO checklist, Core Web Vitals, Schema Markup",SEO — P1.1,SEO Faculty,1,Depth Enhancement — Existing Courses,P0 - Quick Win,,🔴 Pending,"June 22, 2026",QW-03,Phase 0
Create Sub-Topic Checkpoint template + Module Practical Exam template,Assessment Templates — P21.1 + P21.2,Academic Head,21,Granular Assessment Architecture,P0 - Quick Win,,🟡 In Progress,"June 16, 2026",QW-05,Phase 0
"Build Notion Task Tracker database — Phase, Task ID, Module, Owner, Status, Priority, Target Date",Operations,Ops,0,Phase 0 — Operational,P0 - Quick Win,,✅ Done,"June 15, 2026",QW-09,Phase 0
"Map Google Ads, HubSpot, Meta & LinkedIn certification paths",Certification Pathways — P18.2–18.4,Academic Head,18,Industry Certification Pathways,P0 - Quick Win,,🟡 In Progress,"June 19, 2026",QW-06,Phase 0
"Draft the Module Catalog — every module with tier, duration, prerequisite, target cert",Module Catalog v1,Abhishek + Ops,20,Modular Course Architecture,P0 - Quick Win,,🟡 In Progress,"June 18, 2026",QW-01,Phase 0
"Define 3 programme tiers in a comparison table (modules, pricing, outcomes)",Program Architecture — P5.1,Abhishek + Ops,5,"Restructuring, Branding & LMS",P0 - Quick Win,,🟡 In Progress,"June 17, 2026",QW-11,Phase 0
"Write Change Management Notice for current students — what changes, when, who to contact",Student Communications,Abhishek,0,Phase 0 — Operational,P0 - Quick Win,,🟡 In Progress,"June 17, 2026",QW-12,Phase 0
